token,frequency,possible_split,part1_frequency,part2_frequency,book,chapter,verse,context
parado,2,para do,8233,10449,Números,22,5,"Este enviou mensageiros a Balaão, filho de Beor, a Petor, que está junto ao rio, na terra dos filhos do seu povo, a chamá-lo, dizendo: Eis que um povo saiu do Egito; eis que cobre a face da terra e parado está defronte de mim."
parados,1,para dos,8233,5149,1 Reis,13,28,"Então, foi e achou o seu cadáver lançado no caminho, e o jumento, e o leão, que estavam parados junto ao cadáver; o leão não tinha devorado o corpo, nem tinha despedaçado o jumento."
terrado,1,terra do,2968,10449,2 Samuel,16,22,"Estenderam, pois, para Absalão uma tenda no terrado, e entrou Absalão às concubinas de seu pai perante os olhos de todo o Israel."
pararei,1,para rei,8233,2503,Juízes,20,28,"e Fineias, filho de Eleazar, filho de Arão, estava perante ele naqueles dias), dizendo: Sairei ainda mais a pelejar contra os filhos de Benjamim, meu irmão, ou pararei? E disse o Senhor: Subi, que amanhã eu to entregarei na mão."
filhote,2,filho te,2349,2164,Isaías,31,4,"Porque assim me disse o Senhor: Como o leão e o filhote do leão rugem sobre a sua presa, ainda que se convoque contra eles uma multidão de pastores, e não se espantam das suas vozes, nem se abatem pela sua multidão, assim o Senhor dos Exércitos descerá para pelejar pelo monte Sião e pelo seu outeiro."
casados,1,casa dos,2051,5149,1 Coríntios,7,10,"Todavia, aos casados, mando, não eu, mas o Senhor, que a mulher se não aparte do marido."
Teudas,1,teu das,2031,1631,Atos,5,36,"Porque, antes destes dias, levantou-se Teudas, dizendo ser alguém; a este se ajuntou o número de uns quatrocentos homens; o qual foi morto, e todos os que lhe deram ouvidos foram dispersos e reduzidos a nada."
contradizendo,1,contra dizendo,1670,1351,Tito,2,9,"Exorta os servos a que se sujeitem a seu senhor e em tudo agradem, não contradizendo,"
povoou,1,povo ou,1833,980,Gênesis,9,19,Estes três foram os filhos de Noé; e destes se povoou toda a terra.
nomeou,2,nome ou,971,980,Esdras,5,14,"E até os utensílios de ouro e de prata, da Casa de Deus, que Nabucodonosor tomou do templo que estava em Jerusalém e os meteu no templo de Babilônia, o rei Ciro os tirou do templo de Babilônia, e foram dados a um homem cujo nome era Sesbazar, a quem nomeou governador."
contrafez,1,contra fez,1670,907,1 Samuel,21,13,"Pelo que se contrafez diante dos olhos deles, e fez-se como doido entre as suas mãos, e esgravatava nas portas do portal, e deixava correr saliva pela barba."
detinha,2,de tinha,24404,866,Números,9,19,"E, quando a nuvem se detinha muitos dias sobre o tabernáculo, então, os filhos de Israel tinham cuidado da guarda do Senhor e não partiam."
pelado,1,pela do,851,10449,Levítico,13,55,"E o sacerdote, examinando a praga, depois que for lavada, e eis que, se a praga não mudou a sua aparência, nem a praga se estendeu, imundo está; com fogo o queimarás; praga penetrante é, seja pelado em todo ou em parte."
